ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
67bfd7d9-252d-4c32-8acc-ca0fe064cf24,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 09:21:32",,,,,,a7a50c2b-d0ae-4404-8ad9-190f67d2dea8,1,"Open the browser and enter url","1)Chrome browser 2)http://elearningm1.upskills.in/","Should open the browser and enter the url and navigate to the homepage",UNEXECUTED,,
67bfd7d9-252d-4c32-8acc-ca0fe064cf24,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 09:21:32",,,,,,0be755f2-115c-4810-8a49-1c0e790e0e8e,2,"Click on signup",,"Should navigate to the signup page",UNEXECUTED,,
67bfd7d9-252d-4c32-8acc-ca0fe064cf24,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 09:21:32",,,,,,b53518c1-0cb9-44e9-817a-d690a27cae66,3,"Enter all the mandatory fields","1)THEJUS 2)R 3)ramakrishnathejus1 @gmail.com 4)ThejusR 5)admin123 6)admin123","all the data should be able to entered in the mandatory fiels",UNEXECUTED,,
67bfd7d9-252d-4c32-8acc-ca0fe064cf24,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 09:21:32",,,,,,aee59da0-1762-400b-aefb-68148e26d71d,4,"Click on register",,"register should be successful and navigate to next page",UNEXECUTED,,
8cff8570-c2b0-4ed2-9d20-ef8a3a4bae64,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,"Thejus Ramakrishna","10-20-2022 09:31:09",PASS,,"10-20-2022 09:26:27",,,,,,a7a50c2b-d0ae-4404-8ad9-190f67d2dea8,1,"Open the browser and enter url","1)Chrome browser 2)http://elearningm1.upskills.in/","Should open the browser and enter the url and navigate to the homepage",PASS,,
8cff8570-c2b0-4ed2-9d20-ef8a3a4bae64,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,"Thejus Ramakrishna","10-20-2022 09:31:09",PASS,,"10-20-2022 09:26:27",,,,,,0be755f2-115c-4810-8a49-1c0e790e0e8e,2,"Click on signup",,"Should navigate to the signup page",PASS,,
8cff8570-c2b0-4ed2-9d20-ef8a3a4bae64,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,"Thejus Ramakrishna","10-20-2022 09:31:09",PASS,,"10-20-2022 09:26:27",,,,,,b53518c1-0cb9-44e9-817a-d690a27cae66,3,"Enter all the mandatory fields","1)THEJUS 2)R 3)ramakrishnathejus1 @gmail.com 4)ThejusR 5)admin123 6)admin123","all the data should be able to entered in the mandatory fiels",PASS,,
8cff8570-c2b0-4ed2-9d20-ef8a3a4bae64,"Ad hoc",,CS-1,"to check login feature","Case study1",,Unscheduled,Medium,"Thejus Ramakrishna","10-20-2022 09:31:09",PASS,,"10-20-2022 09:26:27",,,,,,aee59da0-1762-400b-aefb-68148e26d71d,4,"Click on register",,"register should be successful and navigate to next page",PASS,,
